id_evento;evento;recinto;artista;fecha_inicio;productora
1;BZRP Tour;Pabellon Max Schmeling;Paulo Londra;09-05-2020;Nachhaltige Events
2;Como si no importara;Arena Ludwingsburg;Emilia;23-01-2021;fullevent.de
3;Born this way;Irving Plaza;Lady Gaga;12-09-2020;CSI DMC
4;El Duko2.0;Thunder Bay;Duki;29-07-2020;EventsEye
5;LOS APARATOS;Tarpeian Precinct Lawn;Trueno;12-08-2018;YouTOOProject
6;Reputation;Raley Field;Taylor Swift;30-03-2016;Live Nation
7;WAP;E-Werk;Cardi B;06-03-2016;MGC
8;BZRP Tour;Pabellon Max Schmeling;Snow;09-05-2020;Nachhaltige Events
9;One Night Only;Bilbao Arena;Bee Gees;10-08-2021;Ibolele Producciones
10;Dia Cero;Forest National;La Ley;14-11-2018;Global Journey
11;CARAVANA;Don Haskins Center;Wos;05-01-2019;Event Production Company
12;WAP;Madison Square Garden;Cardi B;23-12-2018;The Imagos
13;Mil Rosas;Leons Centre;La Oreja de Van Gogh;18-01-2018;Eventos Toronto Shaddai
14;Quedate;Mercedes-Benz Arena;Quevedo;19-01-2022;Eventveranstalter Hamburg
15;Lively And Supreme;Quinta Vergara;Armin Van Buuren;30-08-2018;G & t business group spa
16;Anastasia;Pabellon Fuente de San Luis;Cami;04-07-2020;Planet Events
17;Myrad;Teatro Municipal de Santiago;Nicky Romero;03-05-2016;Universal circus
18;Dolby Live;Palais 12;Aerosmith;07-06-2016;Top Bruselas
19;Disney Concert;Estadio Unico Diego Armando Maradona;Olivia Rodrigo;15-03-2016;ATOMIC FILMS
20;Map of the Soul;Teatro Municipal de Santiago;BTS;05-12-2020;Capsule producciones spa
21;A7S Show;Carrer Baix Vinalopo;A7S;06-01-2019;Live Nation
22;Show Forest;Radio City Music Hall;5 Seconds of Summer;11-04-2016;Hartmann Studios
23;The Misery;Spark Arena;Imagine Dragons;27-10-2020;Queenstown Event Company
24;Passionfruit;Club Blondie;Drake;18-05-2017;Producciones y eventos empire digital limitada
25;Concha Acustica UC 2022;Club Subterraneo;Marcianeke;24-10-2022;Eventos mudness limitada
26;Fourplan Event;Olympiahalle;Luar La L;16-08-2016;Yataco
27;CLARITY;Estadio Nacional de Santiago;Kesha;17-08-2018;DG Medios y espectaculos s.a.
28;Passionfruit;Explanada Ciudad Empresarial;Drake;13-04-2020;Reverb - productora de eventos
29;KAWAII;SALA SANTANA;Polima Westcoast;06-02-2022;Planet Events
30;DISCOTEKA;El Huevo;Lola Indigo;30-09-2017;Global producciones spa
31;Entre Nosotros;Sala La Rivera;Tiago PZK;21-12-2020;Live Nation
32;Como si no importara;Arena Ludwingsburg;Duki;23-01-2021;fullevent.de
33;Younger now;HISTORY;Miley Cyrus;27-03-2017;EventsEye
34;The After Hours;Teatro Caupolican;The Weeknd;08-05-2018;Apparcel producciones limitada
35;Plastic Hearts;UBS Arena;Miley Cyrus;23-05-2021;Los Angeles AV Production
36;Anastasia;Teatro Cariola;Cami;19-07-2019;G & t business group spa
37;CLARITY;Estadio Nacional de Santiago;Zedd;17-08-2018;DG Medios y espectaculos s.a.
38;Bigger than me;Estadio ANZ;Louis Tomlinson;28-07-2019;CMG Audio Visual
39;Alpha Eventalist;Estadio Bicentario de La Florida;Duncan Laurence;15-10-2021;DG Medios y espectaculos s.a.
40;Beto Cuevas;Kursaal Oostende;Beto Cuevas;12-04-2018;Litmind
41;Mystere;LAUT;Cirque du Solei;10-08-2019;IndyRock
42;The After Hours;Teatro Coliseo;The Weeknd;20-04-2018;Producciones oz limitada
43;Rio Concert;Vivo Rio;Anuel AA;26-02-2016;Agencia 360
44;Frozen;Teatro Colon;Madonna;09-12-2019;FMG PRODUCCIONES
45;Nino Blessi;SOF Q8 Toinha Brasil;DrefQuila;08-09-2019;Urban Music
46;Show Forest;Radio City Music Hall;Big Time Rush;11-04-2016;Hartmann Studios
47;S.U.N.O;The Anthem;Pablo Chill-E;16-06-2016;Los Angeles AV Production
48;Rio Concert;Vivo Rio;Maria Becerra;26-02-2016;Agencia 360
49;Concha Acustica UC 2022;Club Subterraneo;Pablo Chill-E;24-10-2022;Eventos mudness limitada
50;Que oso;Youtube Theatre;Snow;22-05-2018;Los Angeles AV Production
51;EQILIBRIO;Festhalle;Polima Westcoast;14-08-2021;Europages
52;Paramore;Powerstation 33;Paramore;30-05-2016;manatua.nz
53;QueenB;Club Providencia;Beyonce;06-08-2019;Casa eventos
54;BZRP Tour;Pabellon Max Schmeling;Bizarrap;09-05-2020;Nachhaltige Events
55;Flicker;SALA SANTANA;Niall Horan;18-04-2021;IndyRock
56;I Aint Worried;Estadio Monumental de Santiago;One Republic;01-12-2019;K PRODUCCIONES S.A.
57;Tomorrow Never Knows;Studio The Venue;The Beatles;07-03-2020;Ethno Nueva Zelanda
58;La Ultima Mision;Estadio Rose Bowl;Wisin & Yandel;12-08-2017;CSI DMC
59;Bachata en vivo;Irving Plaza;Prince Royce;05-11-2020;The Imagos
60;Perfect Specacular Paradise;Estadio Monumental de Buenos Aires;Alan Walker;16-06-2016;Vision world producciones limitada
61;Five Day;Arena TSB Bank;Pearl Jam;08-07-2021;Event Management NZ
62;Same old love;Days Bay Pavilion;Selena Gomez;28-03-2020;manatua.nz
63;Lotto;Estadio Nacional de Santiago;EXO;10-10-2021;Tolten eventos
64;Dangerous Woman;Days Bay Pavilion;Ariana Grande;08-02-2018;Ethno Nueva Zelanda
65;Passionfruit;Columbianhalle;Drake;10-10-2020;Europages
66;Twelve Carat Tour;Sala La Rivera;Post Malone;08-07-2022;Live Nation
67;Map of the Soul;Shubert Theatre;BTS;21-06-2020;The Imagos
68;Gowlding;Sala Apolo;Ellie Gowlding;03-07-2019;Live Nation
69;Gowlding;Salitre Magico;Ellie Gowlding;17-12-2022;Audio Level Eventos
70;DJs Apoyando a Chile;Teatro Teleton;David Guetta;11-12-2016;Andeschimp spa
71;Seize The Day;Thunder Bay;My Chemical Romance;08-09-2022;EventsEye
72;Papi Juancho;Cirque Royal;Maluma;16-07-2021;Expat
73;Le Reve;The Fillmore Philadelphia;Cirque du Solei;28-03-2017;Live Nation
74;Young Dumb and Broke;Teatro Municipal de Santiago;Khalid;16-09-2022;G & t business group spa
75;How do you sleep;Teatro Municipal de Santiago;San Smith;25-09-2021;Time for fun (t4f)
76;Anastasia;Salitre Magico;Cami;07-12-2019;Ye & Ca Producciones
77;Sin Despertar;Warehouse Live;Kudai;26-02-2020;Hartmann Studios
78;Ye;El Huevo;Kanye West;08-11-2022;G & t business group spa
79;BZRP Tour;Pabellon Max Schmeling;Cazzu;09-05-2020;Nachhaltige Events
80;1989;Jeunesse Arena;Taylor Swift;13-07-2018;Somosfk
81;Phoenix Show;Espacio Unimed;Rita Ora;08-01-2016;Somosfk
82;Rio Concert;Vivo Rio;Drake;26-02-2016;Agencia 360
83;The E.N.D World;Air Canada Centre;Black Eyed Peas;12-05-2021;Eventos Toronto Shaddai
84;ShoNuf Lucky;Opera de Sidney;Hardwell;10-02-2019;Sydney WorldPride
85;Bigger than me;Metropol;Louis Tomlinson;01-06-2020;Europages
86;La leyenda;UBS Arena;Gustavo Cerati;02-03-2018;Event Production Company
87;Show Forest;Radio City Music Hall;One Direction;11-04-2016;Hartmann Studios
88;A7S Show;Barclaycard Arena;A7S;19-12-2017;B+D Events
89;El Duko;Parque Bicentenario Cerrillos;Duki;12-07-2018;Andres gardeweg producciones e.i.r.l
90;Golden;La Marina de Valencia;Harry Styles;23-03-2022;LetsGo Company
91;Papi Juancho;Teatro Municipal de Santiago;Maluma;18-09-2020;DG Medios y espectaculos s.a.
92;Fruta y te;Raley Field;Gepe;17-04-2017;The Imagos
93;Habana;Velodromo de Berlin;Camila Cabello;09-10-2018;Litmind
94;AgendaMusic;Sala La Rivera;Ozuna;20-06-2018;LetsGo Company
95;Ko Ko Pop;Estadio Nacional de Buenos Aires;EXO;14-01-2020;Ramasso Productora
96;Nobody like you;Palau Sant Jordi;Nicki Nicole;26-07-2022;Live Nation
97;Cerca de ti;Teatro Cariola;Tiago PZK;28-01-2022;Club providencia
98;Tren al Sur;Estadio Bicentario de La Florida;Los Prisioneros;27-11-2018;Yellow House
99;EteSesh;FirstOntario Centre;Sech;07-07-2019;Canada Eventos
100;La Ultima Vuelta;Club RBX;Daddy Yankee;11-12-2016;Street machine producciones s.a.
101;Caminemos de la Mano;Quinta Vergara;Pailita;21-07-2016;Casa eventos
102;CARAVANA;Carioca Club;Wos;29-07-2018;BRL Eventos
103;TJB;Dodger Stadium;Jonas Brothers;25-06-2022;Hartmann Studios
104;Perfect All Experimenters;Aotea Centre;Anitta;24-07-2016;Event Management NZ
105;Nicky Jam Show;Radio City Music Hall;Nicky Jam;28-08-2019;Live Nation
106;Nino Blessi;Bikini Barcelona;DrefQuila;19-04-2020;Live Nation
107;Twelve Carat Tour;The Anthem;Post Malone;29-01-2018;AEG
108;Bangerz;Don Haskins Center;Miley Cyrus;08-12-2018;Hartmann Studios
109;Umbrella Concert;Movistar Arena de Buenos Aires;Rihanna;07-08-2019;ATOMIC FILMS
110;Revelation Magic Everything;Trafalgar Centre Paru;Afrojack;04-01-2022;Queenstown Event Company
111;Drivers License Tour;ZAG Arena;Olivia Rodrigo;17-02-2016;MGC
112;Big Time;Stage Live, Kalea;Big Time Rush;07-04-2016;Planet Events
113;Schulz Forever;Arena Ludwingsburg;Robin Schulz;22-02-2017;B+D Events
114;El Ultimo Concierto;Gran Arena Monticello;Soda Stereo;19-07-2016;Sony music entertainment chile s.a.
115;Epic Show;Freiheitshalle;The Martinez Brothers;03-04-2022;B+D Events
116;Desesperados;Arena TSB Bank;Rauw Alejando;24-09-2019;Lets Dance
117;Material Girl;Estadio ANZ;Madonna;21-06-2016;Event Hire Sydney
118;Sueno Stereo;Shubert Theatre;Soda Stereo;02-08-2020;Eveerlast Productions INC.
119;Disney Concert;Estadio Unico Diego Armando Maradona;Demi Lovato;15-03-2016;ATOMIC FILMS
120;DJ Snake;Espacio Unimed;DJ Snake;15-02-2016;Brasil Stands
121;DISCOTEKA;Independance Club;Lola Indigo;28-02-2021;IndyRock
122;Rio Concert;Vivo Rio;Bad Bunny;26-02-2016;Agencia 360
123;Lively And Supreme;Mercedes-Benz Arena;Armin Van Buuren;11-09-2020;Eventveranstalter Hamburg
124;El Alfa Tour;The Brooklyn Monarch;El Alfa;25-08-2019;Event Production Company
125;PlanAhead;Luna Park;Alesso;02-05-2021;ESTADIUM LUNA PARK
126;Roads Time;Columbianhalle;Daft Punk;06-02-2020;Europages
127;Beyond Wonderland;Gran Arena Monticello;Marshmello;29-06-2016;BDD Producciones
128;Paramore;Niceto Club;Paramore;11-01-2017;FEG ENTRETENIMIENTOS
129;Maria Becerra;Teatro Municipal de Santiago;Maria Becerra;10-06-2022;Ais producciones
130;Tusa;Metropolitano Rosario;Nicki Minaj;07-11-2020;ESPECTACULOS GALLO
131;DJs Apoyando a Chile;Teatro Teleton;Hardwell;11-12-2016;Andeschimp spa
132;Mami Tour;Thunder Bay;Paloma Mami;09-07-2022;EventsEye
133;Super Bass Tour;Warehouse Live;Nicki Minaj;02-04-2022;The Imagos
134;Bigger than me;Teatro Colon;Louis Tomlinson;29-05-2021;PROSPERO PRODUCCIONES
135;Twelve Carat Tour;Teatro Mayor;Post Malone;29-05-2022;Tyg Eventos y Producciones
136;Michael Jackson Tribute;Cupula Multiespacio;Michael Jackson;13-11-2017;Time for fun (t4f)
137;AgendaMusic;Sala La Rivera;Becky G;20-06-2018;LetsGo Company
138;Talking to the moon;Aotea Centre;Bruno Mars;24-02-2021;manatua.nz
139;Say you wont let go;Antel Arena;James Arthur;08-02-2022;PROSPERO PRODUCCIONES
140;Telepatia;Raley Field;Nathy Peluso;02-03-2017;Eveerlast Productions INC.
141;Me Veras Volver;Palau Sant Jordi;Soda Stereo;06-09-2017;Live Nation
142;MJ Tribute;Warehouse Live;Michael Jackson;12-01-2016;AEG
143;AgendaMusic;Sala La Rivera;Karol G;20-06-2018;LetsGo Company
144;Convencete;Thunder Bay;Princesa Alba;16-02-2020;EventsEye
145;Perfect Specacular Paradise;Sala Apolo;Alan Walker;26-02-2016;Live Nation
146;Disney Concert;Estadio Unico Diego Armando Maradona;Miley Cyrus;15-03-2016;ATOMIC FILMS
147;The Real Slim Shady;Club Subterraneo;Eminem;01-10-2020;DG Medios y espectaculos s.a.
148;Disney Concert;Estadio Unico Diego Armando Maradona;Selena Gomez;15-03-2016;ATOMIC FILMS
149;La Criminal;Club Subterraneo;Natti Natasha;06-11-2019;Glovox producciones limitada
150;Dont start now;Teatro Gran Rex;Dua Lipa;02-02-2017;FMG PRODUCCIONES
151;I Aint Worried;Luna Park;One Republic;15-05-2021;ESTADIUM LUNA PARK
152;Sub Focus;Moon Valencia;Coldplay;15-02-2016;Ibolele Producciones
153;Get Jacked;Arena TSB Bank;Afrojack;16-01-2017;Event Management NZ
154;Best Part;Chango Club;Daniel Caesar;11-08-2018;Planet Events
155;Mami Tour;Columbianhalle;Paloma Mami;19-12-2022;Nachhaltige Events
156;Rio Concert;Vivo Rio;Francisca Valenzuela;26-02-2016;Agencia 360
157;Kill my mind;La Madeleine;Louis Tomlinson;28-01-2017;Xceed
158;DISCOTEKA;Mercedes-Benz Arena;Lola Indigo;04-10-2016;Bierlinerin
159;Fourplan Event;Olympiahalle;Beele;16-08-2016;Yataco
160;Hips dont lie;Espacio Riesco;Shakira;22-12-2017;Productora energy in motion limitada
161;Shivers;Lanxess Arena;Ed Sheeran;01-03-2018;CK Events Germany
162;The Encounter;Crypto.com Arena;One Direction;17-04-2022;Revelation
163;Everybody;Gran Arena Monticello;Madonna;21-10-2016;DG Medios y espectaculos s.a.
164;Real Scene;Phoenix Concert Theatre;Big Bang;11-09-2021;Yataco
165;Fourplan Event;Olympiahalle;Tini Stoessel;16-08-2016;Yataco
166;Papi Juancho;Estadio Rose Bowl;Maluma;17-07-2022;Horwath Productions INC.
167;Shape of you;Aussie Stadium;Ed Sheeran;20-04-2016;Event Hire Sydney
168;Super Freaky Girl;Casino de Vina del Mar;Nicki Minaj;01-01-2022;Glovox producciones limitada
169;Belinda Comeback;E-Werk;Belinda;30-01-2016;Europages
170;WAR;Shubert Theatre;U2;10-05-2021;Live Nation
171;Young Dumb and Broke;Trafalgar Centre Paru;Khalid;09-06-2020;G & t business group spa
172;Concha Acustica UC 2022;Club Subterraneo;Pailita;24-10-2022;Eventos mudness limitada
173;El negrito ojos claros;Teatro Municipal de Valparaiso;Ozuna;07-07-2018;Producciones musicales massivo reccords limitada
174;Step by Step;City Hall el Rodeo;New Kids on the Block;28-03-2016;Onlygroundmusic
175;DJs Apoyando a Chile;Teatro Teleton;Afrojack;11-12-2016;Andeschimp spa
176;Salimo de Noche;Palacio de las Artes;Tiago PZK;28-02-2019;LetsGo Company
177;Concha Acustica UC 2022;Club Subterraneo;Paloma Mami;24-10-2022;Eventos mudness limitada
178;Ultra Solo;Niceto Club;Pailita;12-11-2021;FMG PRODUCCIONES
179;BZRP Tour;Pabellon Max Schmeling;Nicki Nicole;09-05-2020;Nachhaltige Events
180;El negrito ojos claros;Hipodromo de Palermo;Ozuna;24-08-2017;FEG ENTRETENIMIENTOS
181;Epic Show;Arena TSB Bank;The Martinez Brothers;06-05-2018;Queenstown Event Company
182;RUNAWAY;Estadio ANZ;Bon Jovi;07-09-2021;Expat
183;S.U.N.O;Cupula Multiespacio;Pablo Chill-E;21-08-2018;DG Medios y espectaculos s.a.
184;Fourplan Event;Olympiahalle;Cris MJ;16-08-2016;Yataco
185;Fine Line;Estadio Rose Bowl;Harry Styles;11-08-2022;Live Nation
186;Heather;Palau Sant Jordi;Conan Gray;01-03-2018;Live Nation
187;MMM Bop;HISTORY;Hansen;14-05-2022;Expat
188;One Night Only;Movistar Arena de Santiago;Bee Gees;05-04-2019;G & t business group spa
189;JLo;Club Subterraneo;Jennifer Lopez;18-02-2018;DG Medios y espectaculos s.a.
190;Natural;Gran Arena Monticello;Selena Gomez;07-05-2016;Dreams - eventos
191;Watch out for this;Sala But;Major Lazer;17-12-2019;Planet Events
192;The Joshua Tree;Luna Park;U2;27-02-2020;COMPANIA ARGENTINA DE SUENOS
193;Heather;Teatro Teleton;Conan Gray;18-01-2021;Eventos luis maturana ortega e.i.r.l
194;Eventage Feasts;Luna Park;Doja Cat;09-06-2016;ESTADIUM LUNA PARK
195;Ko Ko Pop;Palau Sant Jordi;EXO;20-04-2019;LetsGo Company
196;Mil Rosas;Mercedes-Benz Arena;La Oreja de Van Gogh;29-11-2022;Eventveranstalter Hamburg
197;The After Hours;WIZink Center;The Weeknd;04-11-2021;Planet Events
198;AgendaMusic;Sala La Rivera;Farruko;20-06-2018;LetsGo Company
199;Fourplan Mania;Kursaal Oostende;Duncan Laurence;29-04-2019;Rove.me
200;SongKick;SOF Q8 Toinha Brasil;Skrillex;09-08-2020;BRL Eventos
201;Disney Concert;Estadio Unico Diego Armando Maradona;Justin Bieber;15-03-2016;ATOMIC FILMS
202;Heartbreak Weather;SALA SANTANA;Niall Horan;16-06-2020;LetsGo Company
203;Bang Bang;Warehouse Live;Jessie J;03-02-2021;Los Angeles AV Production
204;Big E Party Moment;Air Canada Centre;New Kids on the Block;18-10-2020;Eventos Toronto Shaddai
205;Oh How;La Madeleine;Eagles;10-09-2021;Xceed
206;How do you sleep;Teatro Municipal de Santiago;Sam Smith;14-09-2022;Lotus producciones limitada
207;Concha Acustica UC 2022;Club Subterraneo;Jordan 23;24-10-2022;Eventos mudness limitada
208;I Used to Think I could Fly;Salitre Magico;Tate McRae;23-10-2019;Sinstress Eventos
209;FULL PIOLI;Estadio Rose Bowl;Pablo Chill-E;13-07-2017;Revelation
210;Rio Concert;Vivo Rio;Justin Bieber;26-02-2016;Agencia 360
211;Lali Esposito: The Show;Days Bay Pavilion;Lali Esposito;03-03-2021;Leading Event Agency
212;MMM Bop;Wilterm Theatre;Hansen;16-08-2017;Live Nation
213;CLARITY;Estadio Nacional de Santiago;Robin Schulz;17-08-2018;DG Medios y espectaculos s.a.
214;Mil Rosas;City Hall el Rodeo;La Oreja de Van Gogh;03-03-2016;Animationphoenix
215;Dangerous Woman;Niceto Club;Ariana Grande;22-07-2021;Ramasso Productora
216;El amor despues del amor;Aotea Centre;Fito Paez;05-01-2021;Lets Dance
217;One Vision of Queen;Teatro Gran Rex;Queen;24-07-2020;FMG PRODUCCIONES
218;Schulz Forever;La Marina de Valencia;Robin Schulz;22-03-2022;Live Nation
219;Disney Concert;Estadio Unico Diego Armando Maradona;Jonas Brothers;15-03-2016;ATOMIC FILMS
220;R3hab live show;Velodromo de Berlin;R3hab;19-09-2022;KahnEvents GmbH
221;Young Flex;Estadio de Futbol Atanasio Girardot;Khea;04-09-2018;Rocko Saroni Eventos
222;CLARITY;Estadio Nacional de Santiago;Diplo;17-08-2018;DG Medios y espectaculos s.a.
223;Rio Concert;Vivo Rio;Taylor Swift;26-02-2016;Agencia 360
224;Telepatia;Club Chocolate;Nathy Peluso;06-04-2022;Eventos luis maturana ortega e.i.r.l
225;Treat you better;Moon Valencia;Shawn Mendes;30-09-2019;LetsGo Company
226;RBD the comeback;Teatro Municipal de Valparaiso;RBD;17-02-2020;Productora de eventos moviefan limitada
227;La Gasolina;Estadio Santa Laura;Daddy Yankee;16-12-2016;Global producciones spa
228;Todo Cambia;Fundo Colmito;Mercedes Sosa;15-12-2021;Comercial caupolican limitada
229;El J23;Canadian Tire Centre;Jordan 23;07-10-2020;Mayam Producciones
230;One Night Only;WIZink Center;Bee Gees;26-09-2017;Producciones Baltimore
231;Voyage;Studio The Venue;ABBA;29-05-2020;Leading Event Agency
232;Born this way;Shubert Theatre;Lady Gaga;08-05-2017;Event Production Company
233;Get Jacked;Carrer Baix Vinalopo;Afrojack;14-02-2021;Producciones Baltimore
